episode,step,reward,length,running_avg,epsilon
197,25318,2.0,195,-2.35,0.7721
198,25430,-0.07,112,-2.25,0.7711
199,25530,-12.13,100,-2.33,0.7702
200,25675,-14.79,145,-2.4,0.7689
201,25853,-0.83,178,-2.66,0.7673
202,25975,25.14,122,-2.35,0.7662
203,26075,-14.55,100,-2.62,0.7653
204,26282,-6.16,207,-2.64,0.7635
205,26433,6.91,151,-2.48,0.7621
206,26551,5.43,118,-2.36,0.7611
207,26651,-12.39,100,-2.34,0.7601
208,26808,-5.86,157,-2.45,0.7587
209,26967,-4.78,159,-2.91,0.7573
210,27113,11.31,146,-2.75,0.756
211,27251,6.15,138,-2.66,0.7548
212,27427,-2.8,176,-2.63,0.7532
213,27583,-1.47,156,-2.6,0.7518
214,27727,4.85,144,-2.49,0.7505
215,27903,-5.05,176,-2.51,0.7489
216,28004,-8.01,101,-2.52,0.748
217,28144,5.09,140,-2.28,0.7467
218,28334,0.05,190,-2.21,0.745
219,28501,35.85,167,-1.84,0.7435
220,28613,1.91,112,-1.78,0.7425
221,28796,4.04,183,-1.63,0.7408
222,28970,12.74,174,-1.43,0.7393
223,29076,-4.52,106,-1.41,0.7383
224,29177,-7.55,101,-1.54,0.7374
225,29277,-12.32,100,-1.63,0.7365
226,29420,-3.15,143,-1.62,0.7352
227,29521,-6.86,101,-1.68,0.7343
228,29673,-7.99,152,-1.56,0.733
229,29829,1.11,156,-1.63,0.7315
230,29929,-13.42,100,-1.77,0.7306
231,30029,-15.0,100,-1.85,0.7297
232,30129,-11.53,100,-1.92,0.7288
233,30249,2.18,120,-1.89,0.7278
234,30467,-2.95,218,-1.82,0.7258
235,30620,1.04,153,-1.77,0.7244
236,30733,-3.39,113,-1.72,0.7234
237,30885,1.94,152,-1.73,0.722
238,31041,1.91,156,-1.63,0.7206
239,31153,-0.02,112,-1.58,0.7196
240,31264,-5.31,111,-1.73,0.7186
241,31365,-4.57,101,-1.77,0.7177
242,31550,-5.97,185,-1.75,0.7161
243,31658,-2.56,108,-2.01,0.7151
244,31786,2.37,128,-2.1,0.7139
245,31906,-8.0,120,-2.12,0.7129
246,32007,-5.26,101,-2.35,0.7119
247,32145,12.18,138,-2.29,0.7107
248,32345,-4.24,200,-2.8,0.7089
249,32462,9.94,117,-2.66,0.7079
250,32579,18.33,117,-2.39,0.7068
251,32680,-5.78,101,-2.44,0.7059
252,32875,-3.93,195,-2.39,0.7041
253,33015,26.68,140,-2.05,0.7029
254,33265,20.81,250,-2.02,0.7006
255,33377,0.11,112,-1.95,0.6996
256,33542,28.55,165,-1.62,0.6981
257,33689,4.58,147,-1.42,0.6968
258,33790,-5.19,101,-1.36,0.6959
259,33890,-19.04,100,-1.4,0.695
260,34120,6.98,230,-1.23,0.6929
261,34246,10.45,126,-1.28,0.6918
262,34365,15.41,119,-1.13,0.6907
263,34615,8.91,250,-0.98,0.6885
264,34825,16.44,210,-0.74,0.6866
265,34963,9.07,138,-0.56,0.6853
266,35102,-6.74,139,-0.74,0.6841
267,35345,61.81,243,-0.13,0.6819
268,35484,13.37,139,0.09,0.6807
269,35631,24.84,147,0.28,0.6793
270,35749,5.25,118,0.38,0.6783
271,35850,-7.95,101,0.33,0.6774
272,35984,38.99,134,0.75,0.6762
273,36234,32.49,250,1.15,0.6739
274,36425,33.94,191,1.5,0.6722
275,36526,-4.9,101,1.49,0.6713
276,36671,0.82,145,1.57,0.67
277,36781,-1.89,110,1.64,0.669
278,36926,-1.21,145,1.77,0.6677
279,37027,-3.98,101,1.61,0.6668
280,37127,-12.66,100,1.58,0.6659
281,37284,31.18,157,1.93,0.6645
282,37518,22.76,234,2.11,0.6623
283,37648,2.44,130,2.19,0.6612
284,37765,10.12,117,2.42,0.6601
285,37932,32.47,167,2.85,0.6586
286,38084,10.12,152,2.92,0.6573
287,38232,19.37,148,3.18,0.6559
288,38482,77.26,250,4.03,0.6537
289,38599,-2.13,117,4.16,0.6526
290,38709,-3.11,110,4.14,0.6516
291,38858,24.37,149,4.39,0.6503
292,38999,4.29,141,4.52,0.649
293,39122,16.08,123,4.73,0.6479
294,39293,3.5,171,4.88,0.6464
295,39500,9.51,207,4.97,0.6445
296,39642,77.15,142,5.81,0.6432
297,39742,-16.31,100,5.62,0.6423
298,39992,34.7,250,5.97,0.6401
299,40123,11.36,131,6.2,0.6389
300,40275,24.91,152,6.6,0.6375
301,40405,2.47,130,6.64,0.6364
302,40607,-13.23,202,6.25,0.6345
303,40775,11.84,168,6.52,0.633
304,40886,5.69,111,6.63,0.632
305,40986,-12.03,100,6.44,0.6311
306,41236,43.37,250,6.82,0.6289
307,41417,-3.31,181,6.91,0.6273
308,41542,29.46,125,7.27,0.6261
309,41716,22.27,174,7.54,0.6246
310,41966,150.92,250,8.93,0.6223
311,42191,29.5,225,9.17,0.6203
312,42338,27.41,147,9.47,0.619
313,42480,22.78,142,9.71,0.6177
314,42638,25.24,158,9.92,0.6163
315,42756,-2.22,118,9.94,0.6152
316,42905,-5.88,149,9.97,0.6139
317,43006,-3.36,101,9.88,0.613
318,43133,16.72,127,10.05,0.6118
319,43234,-8.35,101,9.61,0.6109
320,43472,49.96,238,10.09,0.6088
321,43589,0.66,117,10.05,0.6077
322,43713,19.6,124,10.12,0.6066
323,43824,6.61,111,10.23,0.6056
324,44074,77.13,250,11.08,0.6033
325,44178,-2.71,104,11.18,0.6024
326,44279,-5.03,101,11.16,0.6015
327,44390,-2.73,111,11.2,0.6005
328,44551,14.0,161,11.42,0.599
329,44690,18.98,139,11.6,0.5978
330,44810,12.0,120,11.85,0.5967
331,44953,-1.69,143,11.98,0.5954
332,45080,24.29,127,12.34,0.5943
333,45181,-6.84,101,12.25,0.5934
334,45322,19.96,141,12.48,0.5921
335,45572,98.65,250,13.46,0.5899
336,45690,19.47,118,13.69,0.5888
337,45900,29.97,210,13.97,0.5869
338,46029,7.66,129,14.02,0.5857
339,46279,128.57,250,15.31,0.5835
340,46426,13.44,147,15.5,0.5822
341,46676,131.08,250,16.85,0.5799
342,46787,1.66,111,16.93,0.5789
343,46888,-6.69,101,16.89,0.578
344,47055,80.26,167,17.67,0.5765
345,47208,22.74,153,17.98,0.5751
346,47341,5.97,133,18.09,0.5739
347,47565,61.34,224,18.58,0.5719
348,47815,114.06,250,19.76,0.5697
349,47945,27.75,130,19.94,0.5685
350,48133,14.02,188,19.9,0.5668
351,48262,17.25,129,20.13,0.5657
352,48368,-1.55,106,20.15,0.5647
353,48618,226.67,250,22.15,0.5624
354,48756,23.75,138,22.18,0.5612
355,49006,54.12,250,22.72,0.559
356,49256,195.37,250,24.39,0.5567
357,49357,-7.46,101,24.27,0.5558
358,49524,12.78,167,24.45,0.5543
359,49774,97.03,250,25.61,0.552
360,49959,70.53,185,26.24,0.5504
361,50209,103.95,250,27.18,0.5481
362,50426,76.39,217,27.79,0.5462
363,50568,18.29,142,27.88,0.5449
364,50680,3.55,112,27.75,0.5439
365,50877,89.74,197,28.56,0.5421
366,51021,24.43,144,28.87,0.5408
367,51271,214.88,250,30.4,0.5386
368,51509,100.48,238,31.27,0.5364
369,51759,96.67,250,31.99,0.5342
370,52009,207.76,250,34.02,0.5319
371,52155,18.03,146,34.28,0.5306
372,52405,109.96,250,34.99,0.5284
373,52655,137.37,250,36.04,0.5261
374,52788,21.91,133,35.92,0.5249
375,52891,-3.91,103,35.93,0.524
376,53037,41.13,146,36.33,0.5227
377,53138,-8.25,101,36.27,0.5218
378,53361,136.05,223,37.64,0.5198
379,53611,214.94,250,39.83,0.5175
380,53754,65.61,143,40.61,0.5162
381,53944,54.39,190,40.84,0.5145
382,54088,39.72,144,41.01,0.5132
383,54243,49.91,155,41.49,0.5118
384,54401,112.8,158,42.51,0.5104
385,54512,7.21,111,42.26,0.5094
386,54762,68.71,250,42.85,0.5072
387,54977,55.13,215,43.2,0.5052
388,55108,31.52,131,42.75,0.504
389,55274,8.28,166,42.85,0.5025
390,55410,6.1,136,42.94,0.5013
391,55552,38.44,142,43.08,0.5
392,55676,22.81,124,43.27,0.4989
393,55839,65.52,163,43.76,0.4975
394,56039,29.32,200,44.02,0.4957
395,56177,13.55,138,44.06,0.4944
396,56318,11.19,141,43.4,0.4931
397,56458,10.07,140,43.67,0.4919
398,56708,242.19,250,45.74,0.4896
399,56849,25.99,141,45.89,0.4884
400,56995,73.73,146,46.38,0.4871
401,57095,-10.37,100,46.25,0.4862
402,57233,14.52,138,46.52,0.4849
403,57388,9.73,155,46.5,0.4835
404,57504,21.02,116,46.66,0.4825
405,57723,170.21,219,48.48,0.4805
406,57870,12.28,147,48.17,0.4792
407,57992,28.12,122,48.48,0.4781
408,58187,77.84,195,48.97,0.4763
409,58321,25.45,134,49.0,0.4751
410,58571,231.17,250,49.8,0.4729
411,58798,174.68,227,51.25,0.4708
412,59039,167.66,241,52.65,0.4687
413,59171,18.17,132,52.61,0.4675
414,59296,31.4,125,52.67,0.4663
415,59456,18.03,160,52.87,0.4649
416,59698,89.08,242,53.82,0.4627
417,59879,68.58,181,54.54,0.4611
418,60046,61.72,167,54.99,0.4596
419,60286,198.22,240,57.06,0.4574
420,60536,99.34,250,57.55,0.4552
421,60665,26.1,129,57.81,0.454
422,60795,123.6,130,58.85,0.4529
423,60936,27.22,141,59.05,0.4516
424,61156,107.44,220,59.35,0.4496
425,61283,27.38,127,59.66,0.4485
426,61461,110.89,178,60.81,0.4469
427,61576,10.18,115,60.94,0.4458
428,61703,120.64,127,62.01,0.4447
429,61808,-3.66,105,61.78,0.4437
430,62048,129.09,240,62.95,0.4416
431,62230,58.41,182,63.56,0.4399
432,62480,198.31,250,65.3,0.4377
433,62730,245.45,250,67.82,0.4354
434,62980,230.59,250,69.93,0.4332
435,63118,25.04,138,69.19,0.4319
436,63368,266.44,250,71.66,0.4297
437,63484,0.9,116,71.37,0.4287
438,63607,15.4,123,71.45,0.4275
439,63781,83.39,174,70.99,0.426
440,64010,138.37,229,72.24,0.4239
441,64260,174.58,250,72.68,0.4217
442,64495,143.63,235,74.1,0.4196
443,64691,43.77,196,74.6,0.4178
444,64926,86.89,235,74.67,0.4157
445,65176,173.93,250,76.18,0.4134
446,65306,11.59,130,76.24,0.4123
447,65395,126.86,89,76.89,0.4115
448,65638,204.49,243,77.8,0.4093
449,65888,285.14,250,80.37,0.407
450,66015,22.33,127,80.45,0.4059
451,66156,56.38,141,80.84,0.4046
452,66406,295.83,250,83.82,0.4024
