device: mps
target network: OFF (2013 paper as published)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   73.7 steps/s | 0.3 min
ep   670 | step   108693 | reward   736.96 | avg100   351.78 | eps 0.100 | q  149.00 |   61.5 steps/s | 29.5 min
ep   680 | step   110614 | reward   130.74 | avg100   348.84 | eps 0.100 | q  121.03 |   61.4 steps/s | 30.0 min
ep   690 | step   112741 | reward   842.95 | avg100   367.08 | eps 0.100 | q  115.75 |   61.4 steps/s | 30.6 min
ep   700 | step   115187 | reward   745.12 | avg100   401.29 | eps 0.100 | q  109.17 |   61.3 steps/s | 31.3 min
ep   710 | step   117319 | reward   503.64 | avg100   414.98 | eps 0.100 | q  169.57 |   61.3 steps/s | 31.9 min
ep   720 | step   119807 | reward   414.85 | avg100   423.02 | eps 0.100 | q  178.31 |   61.2 steps/s | 32.6 min
ep   730 | step   122011 | reward   597.88 | avg100   417.47 | eps 0.100 | q  202.34 |   61.1 steps/s | 33.3 min
ep   740 | step   124206 | reward   299.70 | avg100   422.30 | eps 0.100 | q  175.49 |   61.0 steps/s | 33.9 min
ep   750 | step   126466 | reward   540.26 | avg100   423.11 | eps 0.100 | q  258.40 |   61.0 steps/s | 34.6 min
ep   760 | step   128966 | reward   531.41 | avg100   435.09 | eps 0.100 | q  210.75 |   60.9 steps/s | 35.3 min
ep   770 | step   131302 | reward   440.45 | avg100   428.39 | eps 0.100 | q  218.94 |   60.9 steps/s | 35.9 min
ep   780 | step   133708 | reward   655.02 | avg100   447.80 | eps 0.100 | q  262.21 |   60.9 steps/s | 36.6 min
ep   790 | step   136047 | reward   724.74 | avg100   456.87 | eps 0.100 | q  223.79 |   60.8 steps/s | 37.3 min
ep   800 | step   138547 | reward   496.03 | avg100   448.72 | eps 0.100 | q  234.75 |   60.0 steps/s | 38.5 min
ep   810 | step   141021 | reward   563.99 | avg100   450.56 | eps 0.100 | q  197.17 |   60.0 steps/s | 39.2 min
ep   820 | step   143347 | reward    56.61 | avg100   443.88 | eps 0.100 | q  294.04 |   59.9 steps/s | 39.9 min
ep   830 | step   145847 | reward   303.59 | avg100   453.49 | eps 0.100 | q  234.50 |   59.9 steps/s | 40.6 min
ep   840 | step   148186 | reward   361.89 | avg100   469.54 | eps 0.100 | q  255.90 |   59.8 steps/s | 41.3 min
ep   850 | step   150407 | reward    84.30 | avg100   464.56 | eps 0.100 | q  273.68 |   59.8 steps/s | 41.9 min
