episode,step,reward,length,running_avg,epsilon
197,24794,3.93,172,-2.29,0.7769
198,24894,-10.41,100,-2.39,0.776
199,25024,-3.22,130,-2.4,0.7748
200,25156,12.01,132,-2.16,0.7736
201,25317,-8.84,161,-2.16,0.7722
202,25435,5.62,118,-2.09,0.7711
203,25536,-4.04,101,-2.09,0.7702
204,25647,-4.25,111,-2.05,0.7692
205,25785,-0.71,138,-2.16,0.7679
206,25951,-13.77,166,-2.42,0.7664
207,26113,-9.59,162,-2.59,0.765
208,26282,0.02,169,-2.61,0.7635
209,26382,-13.86,100,-2.88,0.7626
210,26632,25.11,250,-2.64,0.7603
211,26759,1.35,127,-2.6,0.7592
212,26860,-6.5,101,-2.57,0.7583
213,27001,-3.61,141,-2.53,0.757
214,27115,-1.48,114,-2.49,0.756
215,27216,-5.56,101,-2.48,0.7551
216,27392,-6.22,176,-2.42,0.7535
217,27492,-11.06,100,-2.43,0.7526
218,27593,-9.98,101,-2.65,0.7517
219,27694,-6.23,101,-2.65,0.7508
220,27831,8.95,137,-2.47,0.7495
221,27932,-8.6,101,-2.56,0.7486
222,28175,64.09,243,-1.96,0.7464
223,28425,43.94,250,-1.47,0.7442
224,28526,-7.65,101,-1.47,0.7433
225,28627,-5.8,101,-1.47,0.7424
226,28780,19.88,153,-1.2,0.741
227,28881,-9.91,101,-1.24,0.7401
228,28981,-16.9,100,-1.41,0.7392
229,29082,-4.81,101,-1.44,0.7383
230,29182,-16.74,100,-1.55,0.7374
231,29283,-8.26,101,-1.58,0.7365
232,29426,6.86,143,-1.38,0.7352
233,29562,-7.81,136,-1.45,0.734
234,29670,-2.91,108,-1.61,0.733
235,29770,-14.68,100,-1.65,0.7321
236,29881,-2.59,111,-1.57,0.7311
237,29982,-5.58,101,-1.81,0.7302
238,30083,-5.38,101,-1.78,0.7293
239,30217,-5.74,134,-1.73,0.7281
240,30394,-12.17,177,-1.84,0.7265
241,30494,-10.68,100,-1.8,0.7256
242,30702,-8.37,208,-1.81,0.7237
243,30803,-7.07,101,-1.83,0.7228
244,30979,8.17,176,-1.82,0.7212
245,31114,-7.85,135,-1.93,0.72
246,31263,1.1,149,-1.91,0.7186
247,31409,-1.66,146,-1.79,0.7173
248,31539,4.82,130,-1.78,0.7162
249,31653,7.59,114,-1.74,0.7151
250,31834,7.96,181,-1.7,0.7135
251,31935,-5.78,101,-1.68,0.7126
252,32035,-19.8,100,-1.79,0.7117
253,32231,22.68,196,-1.67,0.7099
254,32339,-6.29,108,-1.64,0.709
255,32462,10.68,123,-1.44,0.7079
256,32566,-1.6,104,-1.4,0.7069
257,32702,8.98,136,-1.34,0.7057
258,32833,-10.15,131,-1.45,0.7045
259,33042,27.18,209,-1.11,0.7026
260,33158,-5.59,116,-1.14,0.7016
261,33258,-14.36,100,-1.25,0.7007
262,33400,2.02,142,-1.15,0.6994
263,33501,-7.4,101,-1.24,0.6985
264,33602,-5.68,101,-1.25,0.6976
265,33702,-19.17,100,-1.6,0.6967
266,33837,4.18,135,-1.78,0.6955
267,34087,13.07,250,-1.66,0.6932
268,34188,-9.37,101,-1.67,0.6923
269,34294,-2.4,106,-1.63,0.6914
270,34544,1.63,250,-1.42,0.6891
271,34664,2.15,120,-1.35,0.688
272,34765,-3.23,101,-1.46,0.6871
273,34892,-9.79,127,-1.55,0.686
274,34992,-17.86,100,-1.74,0.6851
275,35093,-4.9,101,-1.66,0.6842
276,35250,13.32,157,-1.42,0.6828
277,35497,51.88,247,-0.8,0.6805
278,35747,44.23,250,-0.25,0.6783
279,35847,-13.51,100,-0.4,0.6774
280,35978,10.1,131,-0.34,0.6762
281,36228,20.3,250,-0.11,0.674
282,36389,22.87,161,0.23,0.6725
283,36490,-6.02,101,0.16,0.6716
284,36591,-9.47,101,0.1,0.6707
285,36819,-0.29,228,0.27,0.6686
286,36943,-4.73,124,0.12,0.6675
287,37044,-8.26,101,0.06,0.6666
288,37144,-16.59,100,-0.02,0.6657
289,37268,22.56,124,0.1,0.6646
290,37412,5.6,144,0.26,0.6633
291,37525,-3.22,113,0.26,0.6623
292,37637,-2.49,112,0.15,0.6613
293,37753,-7.69,116,-0.02,0.6602
294,37927,8.83,174,0.11,0.6587
295,38177,53.5,250,0.73,0.6564
296,38354,-5.67,177,0.55,0.6548
297,38473,4.12,119,0.56,0.6538
298,38573,-15.18,100,0.51,0.6529
299,38673,-16.51,100,0.38,0.652
300,38860,7.34,187,0.33,0.6503
301,38996,7.86,136,0.5,0.649
302,39097,-9.99,101,0.34,0.6481
303,39208,-3.16,111,0.35,0.6471
304,39309,-7.55,101,0.32,0.6462
305,39428,-2.15,119,0.3,0.6452
306,39678,14.7,250,0.59,0.6429
307,39778,-17.78,100,0.5,0.642
308,39973,-5.08,195,0.45,0.6403
309,40128,-5.46,155,0.54,0.6389
310,40378,32.84,250,0.61,0.6366
311,40478,-17.99,100,0.42,0.6357
312,40606,0.52,128,0.49,0.6346
313,40856,31.49,250,0.84,0.6323
314,40957,-9.79,101,0.76,0.6314
315,41058,-9.26,101,0.72,0.6305
316,41308,47.95,250,1.26,0.6282
317,41470,5.57,162,1.43,0.6268
318,41570,-14.28,100,1.39,0.6259
319,41686,-4.73,116,1.4,0.6248
320,41936,19.35,250,1.51,0.6226
321,42080,15.88,144,1.75,0.6213
322,42180,-19.24,100,0.92,0.6204
323,42302,-4.52,122,0.43,0.6193
324,42552,25.0,250,0.76,0.617
325,42684,-7.2,132,0.75,0.6159
326,42784,-17.49,100,0.37,0.615
327,42936,-6.11,152,0.41,0.6136
328,43186,32.62,250,0.9,0.6113
329,43287,-9.89,101,0.85,0.6104
330,43388,-8.4,101,0.94,0.6095
331,43583,0.07,195,1.02,0.6078
332,43703,-3.63,120,0.92,0.6067
333,43804,-10.2,101,0.89,0.6058
334,43904,-10.15,100,0.82,0.6049
335,44004,-19.8,100,0.77,0.604
336,44117,0.41,113,0.8,0.603
337,44217,-18.49,100,0.67,0.6021
338,44358,-0.84,141,0.71,0.6008
339,44577,1.69,219,0.79,0.5988
340,44678,-9.98,101,0.81,0.5979
341,44778,-12.11,100,0.8,0.597
342,44884,-3.64,106,0.84,0.5961
343,45088,-11.38,204,0.8,0.5942
344,45201,2.59,113,0.74,0.5932
345,45411,21.84,210,1.04,0.5913
346,45623,-1.96,212,1.01,0.5894
347,45748,-0.94,125,1.02,0.5883
348,45854,-4.06,106,0.93,0.5873
349,45955,-6.66,101,0.79,0.5864
350,46128,8.87,173,0.8,0.5849
351,46296,-1.63,168,0.84,0.5833
352,46397,-8.25,101,0.95,0.5824
353,46511,4.4,114,0.77,0.5814
354,46700,29.66,189,1.13,0.5797
355,46801,-4.56,101,0.98,0.5788
356,47001,-1.71,200,0.98,0.577
357,47101,-12.39,100,0.76,0.5761
358,47202,-9.26,101,0.77,0.5752
359,47319,8.96,117,0.59,0.5741
360,47569,9.38,250,0.74,0.5719
361,47678,2.45,109,0.91,0.5709
362,47779,-5.68,101,0.83,0.57
363,48017,7.19,238,0.98,0.5679
364,48117,-19.02,100,0.84,0.567
365,48238,-3.46,121,1.0,0.5659
366,48357,22.01,119,1.18,0.5648
367,48458,-9.26,101,0.95,0.5639
368,48708,24.56,250,1.29,0.5616
369,48830,-8.8,122,1.23,0.5605
370,49034,18.75,204,1.4,0.5587
371,49135,-5.37,101,1.33,0.5578
372,49302,7.93,167,1.44,0.5563
373,49476,6.31,174,1.6,0.5547
374,49651,18.24,175,1.96,0.5532
375,49901,18.64,250,2.19,0.5509
376,50002,-3.5,101,2.03,0.55
377,50243,48.29,241,1.99,0.5478
378,50490,31.48,247,1.86,0.5456
379,50700,52.36,210,2.52,0.5437
380,50950,29.82,250,2.72,0.5415
381,51050,-15.27,100,2.36,0.5406
382,51199,17.58,149,2.31,0.5392
383,51299,-14.73,100,2.22,0.5383
384,51399,-12.0,100,2.2,0.5374
385,51499,-20.65,100,1.99,0.5365
386,51671,7.89,172,2.12,0.535
387,51921,20.97,250,2.41,0.5327
388,52082,16.02,161,2.74,0.5313
389,52246,38.3,164,2.9,0.5298
390,52347,-8.47,101,2.76,0.5289
391,52597,75.82,250,3.55,0.5266
392,52847,55.17,250,4.12,0.5244
393,53036,-10.24,189,4.1,0.5227
394,53286,35.05,250,4.36,0.5204
395,53536,59.37,250,4.42,0.5182
396,53747,25.28,211,4.73,0.5163
397,53878,-13.36,131,4.55,0.5151
398,54003,7.65,125,4.78,0.514
399,54175,13.64,172,5.08,0.5124
400,54425,17.12,250,5.18,0.5102
401,54576,6.02,151,5.16,0.5088
402,54826,135.48,250,6.62,0.5066
403,55076,110.97,250,7.76,0.5043
404,55326,68.58,250,8.52,0.5021
405,55551,9.86,225,8.64,0.5
406,55734,35.5,183,8.85,0.4984
407,55967,42.18,233,9.45,0.4963
408,56129,9.58,162,9.59,0.4948
409,56251,10.44,122,9.75,0.4938
410,56423,-0.62,172,9.42,0.4922
411,56564,6.72,141,9.67,0.4909
412,56814,59.57,250,10.26,0.4887
413,56977,12.22,163,10.06,0.4872
414,57196,-2.33,219,10.14,0.4852
415,57296,-15.09,100,10.08,0.4843
416,57397,-4.56,101,9.55,0.4834
417,57575,17.32,178,9.67,0.4818
418,57753,64.51,178,10.46,0.4802
419,57886,11.87,133,10.63,0.479
420,58069,12.69,183,10.56,0.4774
421,58319,41.79,250,10.82,0.4751
422,58434,13.76,115,11.15,0.4741
423,58575,78.94,141,11.98,0.4728
424,58679,-2.51,104,11.71,0.4719
425,58844,8.37,165,11.86,0.4704
426,59017,20.09,173,12.24,0.4689
427,59176,5.23,159,12.35,0.4674
428,59317,30.85,141,12.33,0.4662
429,59417,-12.97,100,12.3,0.4653
430,59596,78.58,179,13.17,0.4636
431,59753,-6.06,157,13.11,0.4622
432,59878,11.02,125,13.26,0.4611
433,60041,51.16,163,13.87,0.4596
434,60223,66.79,182,14.64,0.458
435,60473,135.42,250,16.19,0.4558
436,60690,84.43,217,17.03,0.4538
437,60888,52.26,198,17.74,0.452
438,61034,11.62,146,17.87,0.4507
439,61284,97.76,250,18.83,0.4485
440,61448,14.24,164,19.07,0.447
441,61548,-16.87,100,19.02,0.4461
442,61736,51.99,188,19.58,0.4444
443,61951,42.79,215,20.12,0.4424
444,62201,57.0,250,20.66,0.4402
445,62446,169.33,245,22.14,0.438
446,62696,118.93,250,23.35,0.4357
447,62867,89.44,171,24.25,0.4342
448,63044,37.22,177,24.66,0.4326
449,63237,84.96,193,25.58,0.4309
450,63419,-3.1,182,25.46,0.4292
451,63604,45.21,185,25.93,0.4276
452,63850,75.85,246,26.77,0.4254
453,64100,76.43,250,27.49,0.4231
454,64350,26.44,250,27.46,0.4209
455,64466,4.39,116,27.55,0.4198
456,64716,163.16,250,29.2,0.4176
457,64966,138.81,250,30.71,0.4153
458,65216,172.73,250,32.53,0.4131
459,65466,93.82,250,33.38,0.4108
460,65593,21.61,127,33.5,0.4097
461,65843,142.06,250,34.9,0.4074
462,66048,56.91,205,35.52,0.4056
463,66298,314.18,250,38.59,0.4033
464,66433,14.49,135,38.93,0.4021
465,66625,80.53,192,39.77,0.4004
466,66733,3.9,108,39.58,0.3994
467,66966,122.29,233,40.9,0.3973
468,67140,45.51,174,41.11,0.3957
469,67265,19.95,125,41.4,0.3946
470,67392,22.46,127,41.43,0.3935
471,67642,282.98,250,44.32,0.3912
472,67783,55.63,141,44.79,0.39
473,68020,121.07,237,45.94,0.3878
474,68270,126.35,250,47.02,0.3856
475,68520,218.84,250,49.03,0.3833
476,68770,132.88,250,50.39,0.3811
477,69020,190.91,250,51.82,0.3788
478,69270,173.41,250,53.23,0.3766
479,69520,108.95,250,53.8,0.3743
480,69674,46.06,154,53.96,0.3729
481,69833,0.16,159,54.12,0.3715
482,70048,27.97,215,54.22,0.3696
483,70298,148.25,250,55.85,0.3673
484,70408,-0.52,110,55.97,0.3663
485,70580,95.99,172,57.13,0.3648
486,70830,275.0,250,59.8,0.3625
487,70987,68.68,157,60.28,0.3611
