device: mps
target network: ON (Nature 2015)
double DQN:     ON (van Hasselt 2016)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   78.8 steps/s | 0.3 min
ep  1100 | step   220100 | reward   834.78 | avg100   689.27 | eps 0.100 | q  245.45 |   20.6 steps/s | 177.7 min
ep  1110 | step   222491 | reward   840.24 | avg100   697.84 | eps 0.100 | q  245.14 |   20.6 steps/s | 180.4 min
ep  1120 | step   224947 | reward   695.30 | avg100   706.10 | eps 0.100 | q  257.60 |   20.5 steps/s | 183.2 min
ep  1130 | step   227442 | reward   854.89 | avg100   712.63 | eps 0.100 | q  245.94 |   20.4 steps/s | 186.0 min
ep  1140 | step   229942 | reward   835.81 | avg100   726.76 | eps 0.100 | q  250.02 |   20.3 steps/s | 188.7 min
ep  1150 | step   232381 | reward   477.51 | avg100   720.85 | eps 0.100 | q  256.35 |   20.2 steps/s | 191.5 min
ep  1160 | step   234881 | reward   602.05 | avg100   720.63 | eps 0.100 | q  246.90 |   20.2 steps/s | 194.3 min
ep  1170 | step   237297 | reward   796.43 | avg100   715.04 | eps 0.100 | q  263.88 |   20.1 steps/s | 197.0 min
ep  1180 | step   239782 | reward   791.13 | avg100   723.25 | eps 0.100 | q  272.15 |   20.0 steps/s | 199.7 min
ep  1190 | step   242218 | reward   736.54 | avg100   748.15 | eps 0.100 | q  261.82 |   19.9 steps/s | 202.5 min
ep  1200 | step   244718 | reward   813.79 | avg100   752.62 | eps 0.100 | q  267.50 |   19.9 steps/s | 205.3 min
ep  1210 | step   247218 | reward   648.41 | avg100   754.23 | eps 0.100 | q  281.37 |   18.6 steps/s | 221.4 min
ep  1220 | step   249669 | reward   635.40 | avg100   759.56 | eps 0.100 | q  280.39 |   18.7 steps/s | 222.1 min
ep  1230 | step   252070 | reward   311.77 | avg100   751.49 | eps 0.100 | q  275.11 |   18.9 steps/s | 222.8 min
ep  1240 | step   254498 | reward   889.73 | avg100   753.22 | eps 0.100 | q  290.48 |   19.0 steps/s | 223.5 min
ep  1250 | step   256985 | reward   646.71 | avg100   759.31 | eps 0.100 | q  287.28 |   19.1 steps/s | 224.2 min
ep  1260 | step   259444 | reward   845.26 | avg100   764.73 | eps 0.100 | q  295.98 |   19.2 steps/s | 224.9 min
ep  1270 | step   261944 | reward   730.00 | avg100   775.58 | eps 0.100 | q  294.45 |   19.3 steps/s | 225.7 min
ep  1280 | step   264444 | reward   856.83 | avg100   773.79 | eps 0.100 | q  292.71 |   19.5 steps/s | 226.4 min
ep  1290 | step   266882 | reward   854.02 | avg100   760.26 | eps 0.100 | q  293.64 |   19.6 steps/s | 227.2 min
ep  1300 | step   269367 | reward   819.41 | avg100   757.28 | eps 0.100 | q  298.88 |   19.7 steps/s | 227.9 min
ep  1310 | step   271805 | reward   839.94 | avg100   753.96 | eps 0.100 | q  308.37 |   19.8 steps/s | 228.7 min
ep  1320 | step   274210 | reward   831.74 | avg100   747.73 | eps 0.100 | q  316.82 |   19.9 steps/s | 229.5 min
ep  1330 | step   276682 | reward   829.82 | avg100   761.56 | eps 0.100 | q  311.39 |   20.0 steps/s | 230.3 min
ep  1340 | step   279139 | reward   876.43 | avg100   764.73 | eps 0.100 | q  326.50 |   20.0 steps/s | 232.0 min
ep  1350 | step   281592 | reward   420.63 | avg100   767.10 | eps 0.100 | q  321.04 |   20.0 steps/s | 234.8 min
ep  1360 | step   284092 | reward   798.25 | avg100   769.15 | eps 0.100 | q  320.05 |   20.0 steps/s | 237.2 min
ep  1370 | step   286564 | reward   751.52 | avg100   760.82 | eps 0.100 | q  321.86 |   20.0 steps/s | 238.5 min
ep  1380 | step   288973 | reward   578.57 | avg100   751.22 | eps 0.100 | q  331.22 |   20.0 steps/s | 241.2 min
ep  1390 | step   291436 | reward   439.86 | avg100   747.61 | eps 0.100 | q  326.94 |   19.9 steps/s | 244.0 min
ep  1400 | step   293811 | reward   830.66 | avg100   745.30 | eps 0.100 | q  316.82 |   19.9 steps/s | 246.6 min
ep  1410 | step   296169 | reward   781.92 | avg100   733.59 | eps 0.100 | q  332.83 |   19.8 steps/s | 249.3 min
ep  1420 | step   298582 | reward   805.88 | avg100   740.28 | eps 0.100 | q  327.02 |   19.8 steps/s | 252.0 min
ep  1430 | step   301082 | reward   878.80 | avg100   737.59 | eps 0.100 | q  324.44 |   19.7 steps/s | 254.8 min
ep  1440 | step   303533 | reward   419.55 | avg100   728.16 | eps 0.100 | q  325.85 |   19.6 steps/s | 257.5 min
ep  1450 | step   305984 | reward   624.77 | avg100   726.24 | eps 0.100 | q  341.96 |   19.6 steps/s | 260.3 min
ep  1460 | step   308475 | reward   486.64 | avg100   722.48 | eps 0.100 | q  342.68 |   19.5 steps/s | 263.1 min
ep  1470 | step   310895 | reward   847.18 | avg100   721.14 | eps 0.100 | q  354.08 |   19.5 steps/s | 265.8 min
ep  1480 | step   313395 | reward   865.16 | avg100   732.05 | eps 0.100 | q  353.15 |   19.4 steps/s | 268.6 min
ep  1490 | step   315785 | reward   678.63 | avg100   735.59 | eps 0.100 | q  349.00 |   19.4 steps/s | 271.3 min
ep  1500 | step   318285 | reward   824.91 | avg100   734.84 | eps 0.100 | q  342.81 |   19.4 steps/s | 274.1 min
ep  1510 | step   320719 | reward   759.02 | avg100   738.79 | eps 0.100 | q  351.63 |   19.3 steps/s | 276.8 min
ep  1520 | step   323140 | reward   631.21 | avg100   732.16 | eps 0.100 | q  359.44 |   19.3 steps/s | 279.6 min
ep  1530 | step   325514 | reward   829.82 | avg100   724.08 | eps 0.100 | q  359.83 |   19.2 steps/s | 282.3 min
ep  1540 | step   327905 | reward  1020.20 | avg100   733.26 | eps 0.100 | q  356.11 |   19.2 steps/s | 285.0 min
ep  1550 | step   330400 | reward   825.53 | avg100   737.53 | eps 0.100 | q  345.43 |   19.1 steps/s | 287.9 min
ep  1560 | step   332773 | reward   857.30 | avg100   728.28 | eps 0.100 | q  342.12 |   19.1 steps/s | 290.6 min
ep  1570 | step   335237 | reward   851.05 | avg100   732.77 | eps 0.100 | q  339.36 |   19.0 steps/s | 293.4 min
