episode,step,reward,length,running_avg,epsilon
366,49711,-9.15,101,6.0,0.5526
367,49812,-5.8,101,6.01,0.5517
368,49993,5.89,181,6.16,0.5501
369,50243,76.67,250,6.97,0.5478
370,50432,10.91,189,7.08,0.5461
371,50533,-8.55,101,7.06,0.5452
372,50783,63.7,250,7.76,0.543
373,50951,-5.04,168,7.73,0.5414
374,51176,4.77,225,7.61,0.5394
375,51276,-12.88,100,7.41,0.5385
376,51381,-1.41,105,7.46,0.5376
377,51621,3.68,240,7.13,0.5354
378,51871,65.49,250,7.87,0.5332
379,52080,33.28,209,8.24,0.5313
380,52185,-3.4,105,7.72,0.5303
381,52435,34.28,250,8.03,0.5281
382,52685,71.14,250,8.57,0.5258
383,52794,-0.28,109,8.66,0.5249
384,53044,40.0,250,9.08,0.5226
385,53294,64.52,250,9.75,0.5204
386,53544,68.71,250,10.4,0.5181
387,53755,68.83,211,11.06,0.5162
388,53986,71.94,231,11.76,0.5141
389,54221,13.14,235,11.99,0.512
390,54394,37.41,173,12.18,0.5105
391,54631,40.73,237,12.63,0.5083
392,54773,19.06,142,12.89,0.5071
393,54943,7.16,170,13.05,0.5055
394,55178,63.56,235,13.62,0.5034
395,55428,62.5,250,13.52,0.5012
396,55659,85.02,231,14.23,0.4991
397,55822,-2.14,163,14.28,0.4976
398,55980,23.18,158,14.44,0.4962
399,56230,68.46,250,15.14,0.4939
400,56365,-6.2,135,15.07,0.4927
401,56615,53.34,250,15.51,0.4905
402,56865,83.87,250,16.55,0.4882
403,56972,3.61,107,16.51,0.4873
404,57128,21.44,156,16.7,0.4859
405,57297,32.36,169,17.02,0.4843
406,57437,12.07,140,17.23,0.4831
407,57615,1.96,178,17.34,0.4815
408,57760,19.92,145,17.73,0.4802
409,57897,24.25,137,18.06,0.4789
410,58147,78.57,250,18.76,0.4767
411,58347,62.81,200,19.37,0.4749
412,58520,14.89,173,19.16,0.4733
413,58621,-8.14,101,19.24,0.4724
414,58871,105.43,250,20.33,0.4702
415,59089,83.09,218,21.0,0.4682
416,59321,97.16,232,22.1,0.4661
417,59425,-2.26,104,22.05,0.4652
418,59570,33.46,145,22.14,0.4639
