update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,lr
121,241758,0.01057,3.62285,-0.62193,0.051306,0.5393,0.7291,0.0008791
122,243756,0.00782,3.59253,-0.63434,0.044236,0.5777,0.6174,0.0008781
123,245754,0.00825,3.51765,-0.6143,0.040856,0.5369,0.6991,0.0008771
124,247752,0.00807,3.67823,-0.61858,0.050102,0.6055,0.6035,0.0008761
125,249750,0.00883,4.0264,-0.7653,0.048217,0.6206,0.5279,0.0008751
126,251748,0.00738,3.78471,-0.52307,0.045266,0.5596,0.6909,0.0008741
127,253746,0.00344,3.94748,-0.70943,0.035691,0.5682,0.59,0.0008731
128,255744,0.01288,3.46632,-0.67264,0.053984,0.599,0.6581,0.0008721
129,257742,-0.00011,3.84964,-0.71518,0.052274,0.5543,0.7058,0.0008711
130,259740,0.00514,3.53734,-0.69194,0.040076,0.592,0.7072,0.0008701
131,261738,0.00598,3.72034,-0.63845,0.042876,0.5643,0.6926,0.0008691
132,263736,0.00699,3.80032,-0.75876,0.039796,0.6103,0.5159,0.0008681
133,265734,0.00977,3.47236,-0.74652,0.047605,0.6119,0.6595,0.0008671
134,267732,0.0003,3.41817,-0.69862,0.034354,0.5711,0.6861,0.0008661
135,269730,0.00668,4.13796,-0.81215,0.042704,0.6062,0.5381,0.0008651
136,271728,0.00365,3.5706,-0.71604,0.03701,0.5427,0.693,0.0008641
137,273726,0.00566,3.30436,-0.74583,0.043771,0.5959,0.5808,0.0008631
138,275724,0.00483,3.32048,-0.76085,0.052288,0.6237,0.6406,0.0008621
139,277722,0.0002,2.75976,-0.78421,0.037407,0.5651,0.6884,0.0008611
140,279720,0.00135,3.95041,-0.77529,0.03701,0.5821,0.6803,0.0008601
141,281718,0.00831,3.44039,-0.75019,0.045677,0.6137,0.7564,0.0008591
142,283716,-0.00029,3.8335,-0.77381,0.038514,0.5848,0.6628,0.0008581
143,285714,-0.00367,3.12616,-0.71853,0.038254,0.566,0.7668,0.0008571
144,287712,0.00521,3.34685,-0.71944,0.046842,0.6028,0.7355,0.0008561
145,289710,0.00377,3.56753,-0.70738,0.039738,0.5572,0.7433,0.0008551
146,291708,0.00613,3.55264,-0.66338,0.049008,0.5691,0.6769,0.0008541
147,293706,0.01765,4.22759,-0.68677,0.054108,0.6328,0.5932,0.0008531
148,295704,0.00072,2.8728,-0.63108,0.03623,0.5864,0.6261,0.0008521
149,297702,0.00079,3.54802,-0.62455,0.044163,0.5472,0.7225,0.0008511
150,299700,0.00673,3.43634,-0.59333,0.04076,0.5816,0.6595,0.0008501
151,301698,0.00859,2.9207,-0.71095,0.050376,0.6239,0.6072,0.0008492
152,303696,0.00224,3.04608,-0.6679,0.048579,0.5964,0.6863,0.0008482
153,305694,0.00166,2.90056,-0.75324,0.048153,0.5978,0.7179,0.0008472
154,307692,0.00277,3.38961,-0.66326,0.048458,0.5832,0.7208,0.0008462
155,309690,0.00696,3.70509,-0.70703,0.059174,0.6331,0.6499,0.0008452
156,311688,0.00131,3.42818,-0.68518,0.040494,0.5851,0.6546,0.0008442
157,313686,0.00017,3.7989,-0.69994,0.044828,0.5746,0.7139,0.0008432
158,315684,0.01409,4.17146,-0.75755,0.066082,0.5814,0.67,0.0008422
159,317682,0.00733,3.81792,-0.76875,0.040519,0.6071,0.5778,0.0008412
160,319680,0.00677,4.62038,-0.81272,0.040929,0.5966,0.501,0.0008402
161,321678,0.00924,3.95624,-0.76984,0.057139,0.5902,0.7172,0.0008392
162,323676,0.00696,4.37491,-0.90511,0.051553,0.6047,0.6462,0.0008382
163,325674,0.00914,4.46771,-0.91701,0.046691,0.607,0.7034,0.0008372
164,327672,0.0128,4.76183,-0.90068,0.062597,0.6108,0.6707,0.0008362
165,329670,0.00423,5.01153,-0.8953,0.063286,0.6127,0.6204,0.0008352
166,331668,0.01608,5.02974,-0.82823,0.058362,0.6107,0.6886,0.0008342
167,333666,0.00891,5.31534,-0.79209,0.048618,0.5435,0.6429,0.0008332
168,335664,0.01092,5.0741,-0.71422,0.050803,0.5462,0.6684,0.0008322
169,337662,0.0064,5.09755,-0.70752,0.04934,0.5486,0.5574,0.0008312
170,339660,0.00201,3.91756,-0.53913,0.038393,0.4882,0.7121,0.0008302
171,341658,0.00784,4.58315,-0.72936,0.039966,0.5719,0.6663,0.0008292
172,343656,0.00555,4.056,-0.66095,0.038918,0.5691,0.6898,0.0008282
173,345654,0.00351,3.86823,-0.67103,0.052476,0.5852,0.643,0.0008272
174,347652,0.00777,3.79096,-0.67739,0.041868,0.545,0.7037,0.0008262
175,349650,0.00734,4.31003,-0.62121,0.043763,0.5354,0.6818,0.0008252
176,351648,0.01267,3.96586,-0.74656,0.045872,0.5896,0.525,0.0008242
177,353646,0.00239,3.61863,-0.67704,0.064658,0.5972,0.6499,0.0008232
178,355644,-8e-05,4.05272,-0.6678,0.041231,0.5365,0.6572,0.0008222
179,357642,0.00691,3.78292,-0.71106,0.046779,0.5809,0.6735,0.0008212
180,359640,0.01084,4.01189,-0.60074,1.5422452108767459e+35,0.5429,0.7124,0.0008202
181,361638,0.01329,4.02129,-0.75357,0.059829,0.5893,0.6499,0.0008192
182,363636,0.0151,4.28344,-0.7334,0.044762,0.5492,0.7249,0.0008182
183,365634,0.01809,3.83988,-0.71209,1.2695830741471555e+35,0.5946,0.7057,0.0008172
184,367632,0.0129,4.00507,-0.6407,0.061481,0.5625,0.7032,0.0008162
185,369630,0.01548,4.63823,-0.78122,0.054071,0.5944,0.6222,0.0008152
186,371628,0.00775,3.88238,-0.66328,0.052575,0.5537,0.6557,0.0008142
187,373626,0.01497,4.67243,-0.7819,0.0664,0.617,0.6394,0.0008132
188,375624,0.00668,4.91614,-0.70133,0.036992,0.5247,0.6986,0.0008122
189,377622,0.00627,5.18697,-0.76246,0.046474,0.5662,0.5743,0.0008112
