episode,step,reward,length,running_avg
314,32730,3.34,112,-7.77
315,32832,-5.21,107,-7.75
316,32904,6.3,125,-7.74
317,32976,-30.0,100,-7.96
318,33018,-1.76,112,-7.87
319,33168,0.97,110,-7.74
320,33480,9.59,125,-7.64
321,33582,3.17,125,-7.58
322,33630,-1.38,121,-7.45
323,33666,-3.37,108,-7.38
324,33726,5.26,125,-7.33
325,33774,-9.15,101,-7.27
326,34080,-14.43,100,-7.39
327,34200,-2.11,103,-7.37
328,34230,-15.29,100,-7.39
329,34272,-4.71,101,-7.3
330,34428,-5.93,109,-7.21
331,34476,34.69,125,-6.79
332,34686,-5.71,101,-6.67
333,34848,-4.43,103,-6.68
334,34866,-4.59,111,-6.55
335,34890,-3.45,103,-6.48
336,35034,-4.94,101,-6.4
337,35082,-7.88,101,-6.41
338,35292,-4.85,101,-6.44
339,35454,-6.73,101,-6.5
340,35466,-22.86,100,-6.79
341,35562,-3.78,112,-6.78
342,35640,-4.61,101,-6.76
343,35760,-4.58,113,-6.72
344,35934,-4.79,107,-6.72
345,36126,-2.59,110,-6.72
346,36204,7.41,125,-6.6
347,36204,-2.05,107,-6.49
348,36240,-16.8,100,-6.5
349,36360,-12.15,100,-6.5
350,36600,-3.55,111,-6.49
351,36792,-2.42,111,-6.41
352,36804,-18.41,100,-6.55
353,36810,-10.57,101,-6.61
354,36840,-13.53,100,-6.72
355,36966,-8.19,101,-6.67
356,37206,-6.22,101,-6.68
357,37398,-6.33,101,-6.5
358,37416,-10.42,101,-6.57
359,37458,-4.39,103,-6.59
360,37548,5.33,124,-6.49
361,37572,-3.59,101,-6.51
362,37956,24.54,125,-6.13
363,38004,-9.37,101,-6.15
364,38064,-4.44,101,-6.13
365,38106,1.75,115,-6.01
366,38154,-5.71,101,-5.98
367,38250,-1.75,113,-5.97
368,38622,-3.27,111,-5.95
369,38664,0.12,110,-5.82
370,38670,-9.81,101,-5.58
371,38712,-4.85,101,-5.43
372,38754,-23.71,100,-5.55
373,38868,-3.03,103,-5.61
374,39228,-5.88,101,-5.61
375,39270,-9.85,101,-5.71
376,39420,27.66,125,-5.14
377,39426,-3.09,112,-5.11
378,39462,33.09,125,-4.67
379,39474,-7.41,101,-4.63
380,39876,-8.19,101,-4.67
381,39924,-2.25,116,-4.7
382,40026,-5.64,101,-4.36
383,40074,-20.07,100,-4.55
384,40104,-3.3,107,-4.52
385,40176,4.17,125,-4.53
386,40548,0.4,112,-4.42
387,40566,-5.35,107,-4.51
388,40626,-11.15,100,-4.58
389,40704,-14.47,100,-4.68
390,40716,-4.24,107,-4.6
391,40788,-1.6,102,-4.6
392,41184,-5.23,103,-4.61
393,41196,-2.76,108,-4.59
394,41244,-3.97,103,-4.43
395,41304,-41.99,100,-4.76
396,41328,-3.96,102,-4.74
397,41490,0.89,117,-4.62
398,41802,-4.13,103,-4.65
399,41850,-5.2,101,-4.69
400,41874,-6.19,113,-4.91
401,41910,-4.61,101,-4.91
402,41952,-3.65,104,-4.82
403,42090,-22.42,100,-4.95
404,42498,-5.23,108,-4.91
405,42516,-6.22,101,-4.92
406,42534,2.4,122,-4.72
407,42558,-3.59,114,-4.52
408,42570,-4.11,103,-4.53
409,42690,-25.76,100,-4.73
410,43122,-6.17,101,-4.77
411,43164,-4.75,101,-4.65
412,43170,-15.06,100,-4.76
413,43182,-2.78,108,-4.73
414,43248,10.34,125,-4.66
415,43290,-14.43,100,-4.75
416,43782,-25.76,100,-5.07
417,43788,-2.01,111,-4.79
418,43830,-0.8,111,-4.78
419,43842,-1.04,112,-4.8
420,43896,-4.7,108,-4.95
421,43998,-2.4,118,-5.0
422,44388,-7.47,101,-5.06
423,44436,-0.38,108,-5.03
424,44472,-5.6,107,-5.14
425,44484,-3.46,107,-5.08
