device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep   880 | step    94632 | reward    42.31 | avg100     9.28 |  101.9 steps/s | 15.5 min
ep   890 | step    95862 | reward    -6.66 | avg100     9.66 |  102.1 steps/s | 15.7 min
ep   900 | step    97032 | reward    -2.19 | avg100     8.64 |  102.0 steps/s | 15.9 min
ep   910 | step    98040 | reward    52.78 | avg100    10.70 |  101.9 steps/s | 16.0 min
ep   920 | step    99396 | reward    38.18 | avg100    12.45 |  102.0 steps/s | 16.2 min
ep   930 | step   100506 | reward    28.53 | avg100    14.27 |  101.9 steps/s | 16.4 min
ep   940 | step   101646 | reward    70.65 | avg100    15.51 |  102.0 steps/s | 16.6 min
ep   950 | step   102756 | reward    -1.98 | avg100    14.73 |  101.9 steps/s | 16.8 min
ep   960 | step   103962 | reward    -6.86 | avg100    11.84 |  101.8 steps/s | 17.0 min
ep   970 | step   105012 | reward   -10.57 | avg100    16.37 |  102.0 steps/s | 17.2 min
ep   980 | step   106218 | reward    -5.01 | avg100    14.64 |  101.9 steps/s | 17.4 min
ep   990 | step   107454 | reward    -5.38 | avg100    19.26 |  102.0 steps/s | 17.6 min
ep  1000 | step   108612 | reward    69.12 | avg100    22.75 |  101.9 steps/s | 17.8 min
ep  1010 | step   109824 | reward   -12.86 | avg100    22.05 |  102.0 steps/s | 17.9 min
ep  1020 | step   110856 | reward    -3.68 | avg100    21.59 |  101.9 steps/s | 18.1 min
ep  1030 | step   112074 | reward    79.10 | avg100    24.51 |  101.8 steps/s | 18.3 min
ep  1040 | step   113112 | reward   -22.71 | avg100    25.69 |  101.9 steps/s | 18.5 min
ep  1050 | step   114420 | reward    38.46 | avg100    27.49 |  101.9 steps/s | 18.7 min
ep  1060 | step   115650 | reward    19.63 | avg100    29.76 |  102.0 steps/s | 18.9 min
ep  1070 | step   116664 | reward    34.68 | avg100    28.27 |  101.9 steps/s | 19.1 min
ep  1080 | step   117876 | reward   -19.07 | avg100    31.58 |  102.0 steps/s | 19.3 min
ep  1090 | step   119082 | reward   -12.20 | avg100    30.05 |  101.9 steps/s | 19.5 min
ep  1100 | step   120264 | reward   -25.51 | avg100    32.86 |  101.8 steps/s | 19.7 min
ep  1110 | step   121332 | reward    60.14 | avg100    32.78 |  101.9 steps/s | 19.8 min
ep  1120 | step   122670 | reward    76.27 | avg100    36.78 |  101.9 steps/s | 20.1 min
ep  1130 | step   123822 | reward    77.02 | avg100    37.75 |  102.0 steps/s | 20.2 min
ep  1140 | step   125040 | reward    13.61 | avg100    41.19 |  101.9 steps/s | 20.5 min
ep  1150 | step   126204 | reward    -9.98 | avg100    43.66 |  101.8 steps/s | 20.7 min
ep  1160 | step   127488 | reward    83.49 | avg100    46.61 |  101.9 steps/s | 20.8 min
