device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep  5800 | step   680400 | reward   -37.24 | avg100    10.94 |  101.7 steps/s | 111.5 min
ep  5810 | step   681420 | reward   100.72 | avg100    11.42 |  101.7 steps/s | 111.7 min
ep  5820 | step   682680 | reward    13.47 | avg100    10.90 |  101.7 steps/s | 111.8 min
ep  5830 | step   683682 | reward     2.04 | avg100    10.03 |  101.7 steps/s | 112.0 min
ep  5840 | step   684732 | reward   -32.55 | avg100     9.53 |  101.7 steps/s | 112.2 min
ep  5850 | step   685872 | reward   -15.43 | avg100    10.38 |  101.7 steps/s | 112.4 min
ep  5860 | step   687000 | reward    -9.09 | avg100    10.23 |  101.7 steps/s | 112.5 min
ep  5870 | step   688176 | reward    -4.00 | avg100    10.68 |  101.7 steps/s | 112.7 min
ep  5880 | step   689154 | reward     7.26 | avg100    10.45 |  101.7 steps/s | 112.9 min
ep  5890 | step   690306 | reward    -8.39 | avg100    10.14 |  101.7 steps/s | 113.1 min
ep  5900 | step   691386 | reward    21.88 | avg100    11.67 |  101.7 steps/s | 113.3 min
ep  5910 | step   692508 | reward   108.90 | avg100    14.11 |  101.7 steps/s | 113.4 min
ep  5920 | step   693804 | reward    42.11 | avg100    15.98 |  101.7 steps/s | 113.7 min
ep  5930 | step   694806 | reward   -11.37 | avg100    16.29 |  101.7 steps/s | 113.8 min
ep  5940 | step   695970 | reward    13.52 | avg100    18.58 |  101.7 steps/s | 114.0 min
ep  5950 | step   697182 | reward   -33.56 | avg100    18.22 |  101.7 steps/s | 114.2 min
ep  5960 | step   698196 | reward    29.65 | avg100    17.33 |  101.7 steps/s | 114.4 min
ep  5970 | step   699378 | reward    15.38 | avg100    17.74 |  101.7 steps/s | 114.6 min
ep  5980 | step   700566 | reward    63.70 | avg100    17.81 |  101.7 steps/s | 114.8 min
ep  5990 | step   701574 | reward    37.07 | avg100    20.19 |  101.7 steps/s | 114.9 min
ep  6000 | step   702882 | reward    36.78 | avg100    19.49 |  101.7 steps/s | 115.1 min
ep  6010 | step   704106 | reward    48.70 | avg100    20.95 |  101.7 steps/s | 115.3 min
ep  6020 | step   705132 | reward    66.67 | avg100    20.81 |  101.8 steps/s | 115.5 min
ep  6030 | step   706374 | reward    19.23 | avg100    21.72 |  101.7 steps/s | 115.7 min
ep  6040 | step   707562 | reward    73.76 | avg100    24.02 |  101.7 steps/s | 115.9 min
ep  6050 | step   708618 | reward   -34.39 | avg100    25.10 |  101.7 steps/s | 116.1 min
ep  6060 | step   709794 | reward     3.55 | avg100    24.49 |  101.7 steps/s | 116.3 min
ep  6070 | step   711018 | reward   -24.96 | avg100    23.38 |  101.7 steps/s | 116.5 min
ep  6080 | step   711810 | reward   -13.57 | avg100    25.97 |  101.7 steps/s | 116.6 min
ep  6090 | step   713184 | reward   -33.48 | avg100    24.84 |  101.8 steps/s | 116.8 min
ep  6100 | step   714156 | reward    -8.73 | avg100    26.19 |  101.7 steps/s | 117.0 min
ep  6110 | step   715332 | reward   -12.91 | avg100    22.84 |  101.7 steps/s | 117.2 min
ep  6120 | step   716466 | reward   -35.06 | avg100    21.53 |  101.7 steps/s | 117.4 min
ep  6130 | step   717498 | reward    -3.09 | avg100    20.55 |  101.7 steps/s | 117.6 min
ep  6140 | step   718644 | reward    -8.47 | avg100    18.21 |  101.7 steps/s | 117.7 min
ep  6150 | step   719748 | reward    -9.84 | avg100    19.43 |  101.7 steps/s | 117.9 min
ep  6160 | step   720894 | reward    24.57 | avg100    19.21 |  101.7 steps/s | 118.1 min
ep  6170 | step   722112 | reward    36.05 | avg100    19.54 |  101.7 steps/s | 118.3 min
ep  6180 | step   723216 | reward   -44.09 | avg100    16.49 |  101.8 steps/s | 118.5 min
ep  6190 | step   724152 | reward    84.31 | avg100    14.36 |  101.7 steps/s | 118.6 min
ep  6200 | step   725256 | reward   -17.45 | avg100    10.93 |  101.8 steps/s | 118.8 min
ep  6210 | step   726360 | reward   -13.08 | avg100     8.83 |  101.7 steps/s | 119.0 min
ep  6220 | step   727464 | reward    53.28 | avg100     6.14 |  101.7 steps/s | 119.2 min
ep  6230 | step   728406 | reward   -12.62 | avg100     4.37 |  101.7 steps/s | 119.3 min
ep  6240 | step   729450 | reward    80.00 | avg100     2.62 |  101.7 steps/s | 119.5 min
ep  6250 | step   730644 | reward    -1.70 | avg100     0.91 |  101.8 steps/s | 119.7 min
ep  6260 | step   731610 | reward    -3.59 | avg100    -0.23 |  101.7 steps/s | 119.9 min
ep  6270 | step   732756 | reward   -12.05 | avg100    -2.20 |  101.8 steps/s | 120.0 min
ep  6280 | step   733836 | reward    -8.90 | avg100    -2.03 |  101.7 steps/s | 120.2 min
ep  6290 | step   734970 | reward    10.06 | avg100    -2.58 |  101.8 steps/s | 120.4 min
ep  6300 | step   736056 | reward    53.54 | avg100    -1.18 |  101.7 steps/s | 120.6 min
ep  6310 | step   737148 | reward    -9.37 | avg100     0.73 |  101.8 steps/s | 120.7 min
ep  6320 | step   738288 | reward    44.88 | avg100     0.86 |  101.8 steps/s | 120.9 min
ep  6330 | step   739260 | reward   -20.53 | avg100     2.18 |  101.8 steps/s | 121.1 min
ep  6340 | step   740154 | reward   -33.43 | avg100     1.99 |  101.7 steps/s | 121.2 min
ep  6350 | step   741474 | reward   -12.20 | avg100     3.35 |  101.7 steps/s | 121.5 min
ep  6360 | step   742686 | reward   -10.17 | avg100     6.50 |  101.8 steps/s | 121.6 min
ep  6370 | step   743538 | reward   -27.37 | avg100     6.07 |  101.7 steps/s | 121.8 min
ep  6380 | step   744696 | reward    16.79 | avg100     7.08 |  101.8 steps/s | 122.0 min
ep  6390 | step   745896 | reward   -13.98 | avg100     8.64 |  101.7 steps/s | 122.2 min
ep  6400 | step   746898 | reward   100.69 | avg100     8.22 |  101.8 steps/s | 122.3 min
ep  6410 | step   748002 | reward    60.92 | avg100     7.68 |  101.8 steps/s | 122.5 min
ep  6420 | step   749058 | reward    56.93 | avg100     8.64 |  101.8 steps/s | 122.7 min
ep  6430 | step   750114 | reward     2.64 | avg100     8.62 |  101.8 steps/s | 122.9 min
ep  6440 | step   751164 | reward   -12.89 | avg100    10.76 |  101.8 steps/s | 123.0 min
ep  6450 | step   752214 | reward   -14.39 | avg100     7.11 |  101.8 steps/s | 123.2 min
ep  6460 | step   753276 | reward   -11.62 | avg100     4.09 |  101.7 steps/s | 123.4 min
ep  6470 | step   754332 | reward   -25.39 | avg100     4.14 |  101.8 steps/s | 123.5 min
ep  6480 | step   755424 | reward    -9.35 | avg100     2.57 |  101.7 steps/s | 123.7 min
ep  6490 | step   756462 | reward    -5.65 | avg100     1.31 |  101.8 steps/s | 123.9 min
ep  6500 | step   757470 | reward    14.29 | avg100     0.38 |  101.8 steps/s | 124.1 min
ep  6510 | step   758622 | reward   -23.91 | avg100    -0.79 |  101.8 steps/s | 124.2 min
ep  6520 | step   759720 | reward    16.74 | avg100    -0.40 |  101.8 steps/s | 124.4 min
ep  6530 | step   760800 | reward   -19.40 | avg100    -0.29 |  101.8 steps/s | 124.6 min
ep  6540 | step   761862 | reward    -5.49 | avg100    -0.95 |  101.8 steps/s | 124.8 min
ep  6550 | step   762786 | reward    -2.82 | avg100    -0.35 |  101.8 steps/s | 124.9 min
ep  6560 | step   764004 | reward    74.34 | avg100     3.75 |  101.8 steps/s | 125.1 min
ep  6570 | step   765204 | reward   -37.60 | avg100     3.21 |  101.8 steps/s | 125.3 min
ep  6580 | step   765930 | reward    -8.66 | avg100     3.56 |  101.8 steps/s | 125.4 min
ep  6590 | step   767160 | reward   -34.65 | avg100     4.30 |  101.8 steps/s | 125.6 min
ep  6600 | step   768276 | reward    -6.17 | avg100     4.91 |  101.8 steps/s | 125.8 min
ep  6610 | step   769314 | reward   -26.13 | avg100     8.02 |  101.8 steps/s | 126.0 min
ep  6620 | step   770514 | reward   -29.82 | avg100     7.05 |  101.8 steps/s | 126.2 min
ep  6630 | step   771588 | reward    -4.71 | avg100     7.46 |  101.8 steps/s | 126.4 min
ep  6640 | step   772590 | reward     3.37 | avg100     7.03 |  101.8 steps/s | 126.5 min
ep  6650 | step   773784 | reward    -3.04 | avg100     7.21 |  101.8 steps/s | 126.7 min
ep  6660 | step   774846 | reward   -12.14 | avg100     5.45 |  101.8 steps/s | 126.9 min
ep  6670 | step   775926 | reward    -1.96 | avg100     5.62 |  101.8 steps/s | 127.1 min
ep  6680 | step   777072 | reward   -11.25 | avg100     4.80 |  101.8 steps/s | 127.2 min
ep  6690 | step   777996 | reward   -14.26 | avg100     5.85 |  101.8 steps/s | 127.4 min
ep  6700 | step   779088 | reward   -15.48 | avg100     5.54 |  101.8 steps/s | 127.6 min
ep  6710 | step   780234 | reward    -0.28 | avg100     2.07 |  101.8 steps/s | 127.8 min
ep  6720 | step   781296 | reward    75.44 | avg100     1.27 |  101.8 steps/s | 128.0 min
ep  6730 | step   782280 | reward    -7.36 | avg100     0.44 |  101.8 steps/s | 128.1 min
ep  6740 | step   783396 | reward    59.24 | avg100     0.95 |  101.8 steps/s | 128.3 min
ep  6750 | step   784404 | reward   -11.27 | avg100     1.95 |  101.8 steps/s | 128.5 min
ep  6760 | step   785604 | reward   -31.99 | avg100     0.63 |  101.8 steps/s | 128.7 min
ep  6770 | step   786630 | reward   -10.06 | avg100     3.78 |  101.8 steps/s | 128.8 min
ep  6780 | step   787836 | reward    51.29 | avg100     3.73 |  101.8 steps/s | 129.0 min
ep  6790 | step   788802 | reward    85.45 | avg100     4.29 |  101.8 steps/s | 129.2 min
ep  6800 | step   790026 | reward     6.31 | avg100     4.21 |  101.8 steps/s | 129.4 min
ep  6810 | step   791172 | reward    41.91 | avg100     4.56 |  101.8 steps/s | 129.5 min
ep  6820 | step   792288 | reward    75.72 | avg100     6.87 |  101.8 steps/s | 129.7 min
ep  6830 | step   793482 | reward    27.80 | avg100    11.42 |  101.8 steps/s | 130.0 min
ep  6840 | step   794562 | reward    -8.07 | avg100     9.92 |  101.8 steps/s | 130.1 min
ep  6850 | step   795492 | reward    -2.29 | avg100    10.16 |  101.8 steps/s | 130.3 min
ep  6860 | step   796686 | reward    -6.21 | avg100     7.82 |  101.8 steps/s | 130.5 min
ep  6870 | step   797760 | reward   -19.80 | avg100     5.28 |  101.8 steps/s | 130.6 min
ep  6880 | step   798786 | reward    29.45 | avg100     6.08 |  101.8 steps/s | 130.8 min
ep  6890 | step   799824 | reward   -32.21 | avg100     5.10 |  101.8 steps/s | 131.0 min
ep  6900 | step   800994 | reward    72.88 | avg100     5.69 |  101.8 steps/s | 131.2 min
ep  6910 | step   802050 | reward     6.20 | avg100     5.99 |  101.8 steps/s | 131.4 min
ep  6920 | step   803250 | reward    74.07 | avg100     3.92 |  101.8 steps/s | 131.6 min
ep  6930 | step   804156 | reward   -10.58 | avg100     1.31 |  101.8 steps/s | 131.7 min
ep  6940 | step   805500 | reward    37.81 | avg100     2.70 |  101.8 steps/s | 131.9 min
ep  6950 | step   806610 | reward    22.11 | avg100     3.93 |  101.8 steps/s | 132.1 min
ep  6960 | step   807630 | reward     1.81 | avg100     4.79 |  101.8 steps/s | 132.3 min
ep  6970 | step   808638 | reward     1.39 | avg100     4.86 |  101.8 steps/s | 132.4 min
ep  6980 | step   809838 | reward   -18.08 | avg100     2.72 |  101.8 steps/s | 132.6 min
ep  6990 | step   810774 | reward    -6.60 | avg100     2.09 |  101.8 steps/s | 132.8 min
ep  7000 | step   811938 | reward    49.47 | avg100     0.37 |  101.8 steps/s | 133.0 min
ep  7010 | step   813036 | reward   -11.51 | avg100     1.88 |  101.8 steps/s | 133.1 min
ep  7020 | step   814110 | reward    64.29 | avg100     3.64 |  101.8 steps/s | 133.3 min
ep  7030 | step   815292 | reward   -20.06 | avg100     2.39 |  101.8 steps/s | 133.5 min
ep  7040 | step   816228 | reward    38.30 | avg100     1.07 |  101.8 steps/s | 133.7 min
ep  7050 | step   817392 | reward   -26.97 | avg100    -0.55 |  101.8 steps/s | 133.9 min
ep  7060 | step   818604 | reward   -12.31 | avg100    -0.25 |  101.8 steps/s | 134.1 min
ep  7070 | step   819528 | reward    47.73 | avg100     3.21 |  101.8 steps/s | 134.2 min
ep  7080 | step   820794 | reward   -11.68 | avg100     6.65 |  101.8 steps/s | 134.4 min
ep  7090 | step   822036 | reward    76.47 | avg100     9.81 |  101.8 steps/s | 134.6 min
ep  7100 | step   823122 | reward   -45.52 | avg100    10.49 |  101.8 steps/s | 134.8 min
ep  7110 | step   824196 | reward   -10.33 | avg100    11.08 |  101.8 steps/s | 135.0 min
ep  7120 | step   825372 | reward    80.21 | avg100    13.50 |  101.8 steps/s | 135.2 min
ep  7130 | step   826572 | reward   -40.53 | avg100    13.57 |  101.8 steps/s | 135.4 min
ep  7140 | step   827634 | reward    42.86 | avg100    15.79 |  101.8 steps/s | 135.5 min
ep  7150 | step   828672 | reward     9.72 | avg100    16.25 |  101.8 steps/s | 135.7 min
ep  7160 | step   829776 | reward    -4.42 | avg100    18.20 |  101.8 steps/s | 135.9 min
ep  7170 | step   830946 | reward   -11.97 | avg100    14.16 |  101.8 steps/s | 136.1 min
ep  7180 | step   831990 | reward   -10.56 | avg100    12.58 |  101.8 steps/s | 136.3 min
ep  7190 | step   833070 | reward     2.91 | avg100     8.45 |  101.8 steps/s | 136.4 min
ep  7200 | step   834546 | reward    20.62 | avg100    11.09 |  101.8 steps/s | 136.7 min
ep  7210 | step   835320 | reward   -25.25 | avg100    13.33 |  101.8 steps/s | 136.8 min
ep  7220 | step   836664 | reward    10.27 | avg100    11.58 |  101.8 steps/s | 137.0 min
ep  7230 | step   838008 | reward     2.32 | avg100    14.32 |  101.8 steps/s | 137.2 min
ep  7240 | step   838896 | reward    -9.83 | avg100    14.91 |  101.8 steps/s | 137.4 min
ep  7250 | step   840150 | reward    -5.71 | avg100    15.33 |  101.8 steps/s | 137.6 min
ep  7260 | step   841458 | reward    81.51 | avg100    17.50 |  101.8 steps/s | 137.8 min
ep  7270 | step   842376 | reward    21.58 | avg100    19.76 |  101.8 steps/s | 137.9 min
ep  7280 | step   843576 | reward   -30.57 | avg100    19.99 |  101.8 steps/s | 138.2 min
ep  7290 | step   844740 | reward    -6.85 | avg100    22.04 |  101.8 steps/s | 138.3 min
ep  7300 | step   845766 | reward    84.82 | avg100    21.42 |  101.8 steps/s | 138.5 min
ep  7310 | step   847092 | reward     4.03 | avg100    18.25 |  101.8 steps/s | 138.7 min
ep  7320 | step   848130 | reward    50.16 | avg100    18.54 |  101.8 steps/s | 138.9 min
ep  7330 | step   849258 | reward   -52.03 | avg100    16.50 |  101.8 steps/s | 139.1 min
ep  7340 | step   850356 | reward   -11.56 | avg100    15.74 |  101.8 steps/s | 139.3 min
ep  7350 | step   851562 | reward   -14.98 | avg100    14.79 |  101.8 steps/s | 139.5 min
ep  7360 | step   852762 | reward   -17.50 | avg100    12.88 |  101.8 steps/s | 139.6 min
ep  7370 | step   853812 | reward    -7.00 | avg100    12.89 |  101.8 steps/s | 139.8 min
ep  7380 | step   855006 | reward   -20.98 | avg100    12.59 |  101.8 steps/s | 140.0 min
ep  7390 | step   856146 | reward     4.04 | avg100    13.85 |  101.8 steps/s | 140.2 min
ep  7400 | step   857358 | reward    -7.12 | avg100    13.93 |  101.8 steps/s | 140.4 min
ep  7410 | step   858546 | reward    52.54 | avg100    15.47 |  101.8 steps/s | 140.6 min
ep  7420 | step   859692 | reward    19.74 | avg100    15.96 |  101.8 steps/s | 140.8 min
ep  7430 | step   860988 | reward    -1.53 | avg100    18.87 |  101.8 steps/s | 141.0 min
ep  7440 | step   861996 | reward   -12.63 | avg100    17.69 |  101.8 steps/s | 141.2 min
ep  7450 | step   863238 | reward    62.96 | avg100    21.51 |  101.8 steps/s | 141.4 min
ep  7460 | step   864552 | reward    -0.31 | avg100    20.00 |  101.8 steps/s | 141.6 min
ep  7470 | step   865488 | reward    19.30 | avg100    20.86 |  101.8 steps/s | 141.7 min
ep  7480 | step   866814 | reward   156.94 | avg100    25.35 |  101.8 steps/s | 141.9 min
ep  7490 | step   868080 | reward    -0.60 | avg100    24.19 |  101.8 steps/s | 142.2 min
ep  7500 | step   869088 | reward    92.93 | avg100    25.31 |  101.8 steps/s | 142.3 min
ep  7510 | step   870324 | reward    66.04 | avg100    23.95 |  101.8 steps/s | 142.5 min
ep  7520 | step   871242 | reward   -22.18 | avg100    21.91 |  101.8 steps/s | 142.7 min
ep  7530 | step   872550 | reward   -18.20 | avg100    19.23 |  101.8 steps/s | 142.9 min
ep  7540 | step   873570 | reward    54.98 | avg100    19.96 |  101.8 steps/s | 143.1 min
ep  7550 | step   874716 | reward   -26.59 | avg100    20.40 |  101.8 steps/s | 143.2 min
ep  7560 | step   876060 | reward    75.38 | avg100    21.99 |  101.8 steps/s | 143.5 min
ep  7570 | step   877152 | reward   102.02 | avg100    23.42 |  101.8 steps/s | 143.7 min
ep  7580 | step   878310 | reward    79.49 | avg100    23.95 |  101.8 steps/s | 143.8 min
ep  7590 | step   879660 | reward   -12.93 | avg100    25.91 |  101.8 steps/s | 144.1 min
ep  7600 | step   880752 | reward   -18.63 | avg100    29.15 |  101.8 steps/s | 144.2 min
ep  7610 | step   881910 | reward    91.78 | avg100    31.60 |  101.8 steps/s | 144.4 min
ep  7620 | step   883158 | reward    -1.53 | avg100    32.71 |  101.8 steps/s | 144.7 min
ep  7630 | step   884214 | reward   -50.24 | avg100    35.66 |  101.8 steps/s | 144.8 min
ep  7640 | step   885450 | reward    57.41 | avg100    37.84 |  101.8 steps/s | 145.0 min
ep  7650 | step   886812 | reward   101.41 | avg100    36.11 |  101.8 steps/s | 145.2 min
ep  7660 | step   887814 | reward   113.29 | avg100    40.09 |  101.8 steps/s | 145.4 min
ep  7670 | step   889170 | reward   133.08 | avg100    42.26 |  101.8 steps/s | 145.6 min
ep  7680 | step   890334 | reward    -7.95 | avg100    40.90 |  101.8 steps/s | 145.8 min
ep  7690 | step   891324 | reward    83.46 | avg100    40.68 |  101.8 steps/s | 146.0 min
ep  7700 | step   892602 | reward     2.46 | avg100    35.58 |  101.8 steps/s | 146.2 min
ep  7710 | step   893748 | reward   -19.26 | avg100    35.53 |  101.8 steps/s | 146.4 min
ep  7720 | step   894894 | reward    -3.98 | avg100    36.04 |  101.8 steps/s | 146.6 min
ep  7730 | step   896088 | reward    15.78 | avg100    36.53 |  101.8 steps/s | 146.8 min
ep  7740 | step   897348 | reward   107.36 | avg100    37.50 |  101.8 steps/s | 147.0 min
ep  7750 | step   898368 | reward    57.89 | avg100    42.00 |  101.8 steps/s | 147.1 min
ep  7760 | step   899838 | reward     8.77 | avg100    41.92 |  101.8 steps/s | 147.4 min
ep  7770 | step   900918 | reward    96.01 | avg100    40.32 |  101.8 steps/s | 147.5 min
ep  7780 | step   901968 | reward   123.40 | avg100    39.29 |  101.8 steps/s | 147.7 min
ep  7790 | step   903240 | reward     9.85 | avg100    40.32 |  101.7 steps/s | 148.0 min
ep  7800 | step   904668 | reward    63.27 | avg100    44.35 |  101.8 steps/s | 148.2 min
ep  7810 | step   905652 | reward   132.82 | avg100    45.31 |  101.8 steps/s | 148.3 min
ep  7820 | step   906888 | reward    13.01 | avg100    46.60 |  101.8 steps/s | 148.5 min
ep  7830 | step   908088 | reward   -14.31 | avg100    42.18 |  101.8 steps/s | 148.7 min
ep  7840 | step   909018 | reward    51.52 | avg100    40.97 |  101.8 steps/s | 148.9 min
ep  7850 | step   910434 | reward   110.00 | avg100    38.55 |  101.8 steps/s | 149.1 min
ep  7860 | step   911604 | reward   -43.37 | avg100    37.19 |  101.8 steps/s | 149.3 min
ep  7870 | step   912714 | reward   105.39 | avg100    37.23 |  101.8 steps/s | 149.5 min
ep  7880 | step   914034 | reward   -11.03 | avg100    37.44 |  101.8 steps/s | 149.7 min
ep  7890 | step   914958 | reward    23.71 | avg100    39.90 |  101.8 steps/s | 149.8 min
ep  7900 | step   916278 | reward   115.05 | avg100    40.04 |  101.8 steps/s | 150.1 min
ep  7910 | step   917568 | reward   102.53 | avg100    41.71 |  101.7 steps/s | 150.3 min
ep  7920 | step   918708 | reward     9.72 | avg100    42.54 |  101.8 steps/s | 150.5 min
ep  7930 | step   919836 | reward    28.22 | avg100    46.11 |  101.7 steps/s | 150.7 min
ep  7940 | step   921030 | reward   -20.97 | avg100    47.20 |  101.8 steps/s | 150.8 min
ep  7950 | step   922146 | reward    79.10 | avg100    46.59 |  101.8 steps/s | 151.0 min
ep  7960 | step   923508 | reward    72.30 | avg100    44.42 |  101.7 steps/s | 151.3 min
ep  7970 | step   924564 | reward   -15.69 | avg100    45.43 |  101.8 steps/s | 151.4 min
ep  7980 | step   925710 | reward   100.00 | avg100    46.71 |  101.8 steps/s | 151.6 min
ep  7990 | step   926964 | reward    98.65 | avg100    46.69 |  101.8 steps/s | 151.8 min
ep  8000 | step   928116 | reward     6.31 | avg100    45.67 |  101.8 steps/s | 152.0 min
ep  8010 | step   929310 | reward    71.05 | avg100    41.56 |  101.7 steps/s | 152.2 min
ep  8020 | step   930564 | reward     6.18 | avg100    39.36 |  101.8 steps/s | 152.4 min
ep  8030 | step   931680 | reward    11.89 | avg100    40.04 |  101.8 steps/s | 152.6 min
ep  8040 | step   932886 | reward   105.39 | avg100    38.86 |  101.8 steps/s | 152.8 min
ep  8050 | step   933930 | reward    74.19 | avg100    40.66 |  101.8 steps/s | 153.0 min
ep  8060 | step   935130 | reward   -14.11 | avg100    40.38 |  101.7 steps/s | 153.2 min
ep  8070 | step   936396 | reward   -10.56 | avg100    38.32 |  101.8 steps/s | 153.4 min
ep  8080 | step   937524 | reward   101.30 | avg100    38.46 |  101.7 steps/s | 153.6 min
ep  8090 | step   938646 | reward    61.29 | avg100    34.50 |  101.8 steps/s | 153.7 min
ep  8100 | step   939822 | reward   -36.04 | avg100    32.17 |  101.7 steps/s | 153.9 min
ep  8110 | step   940914 | reward    11.10 | avg100    29.30 |  101.8 steps/s | 154.1 min
ep  8120 | step   942096 | reward    45.45 | avg100    29.05 |  101.8 steps/s | 154.3 min
ep  8130 | step   943188 | reward   -52.97 | avg100    25.97 |  101.7 steps/s | 154.5 min
ep  8140 | step   944328 | reward     3.35 | avg100    24.62 |  101.8 steps/s | 154.7 min
ep  8150 | step   945570 | reward    -5.14 | avg100    20.38 |  101.8 steps/s | 154.9 min
ep  8160 | step   946812 | reward    40.35 | avg100    21.90 |  101.8 steps/s | 155.1 min
ep  8170 | step   947730 | reward     0.03 | avg100    19.25 |  101.8 steps/s | 155.2 min
ep  8180 | step   949128 | reward    97.28 | avg100    17.61 |  101.7 steps/s | 155.5 min
ep  8190 | step   950196 | reward     6.73 | avg100    16.07 |  101.8 steps/s | 155.6 min
ep  8200 | step   951234 | reward    -7.12 | avg100    15.56 |  101.7 steps/s | 155.8 min
ep  8210 | step   952578 | reward   111.16 | avg100    21.42 |  101.8 steps/s | 156.0 min
ep  8220 | step   953688 | reward   -18.89 | avg100    19.88 |  101.8 steps/s | 156.2 min
ep  8230 | step   954804 | reward   -14.43 | avg100    23.72 |  101.8 steps/s | 156.4 min
ep  8240 | step   955962 | reward    44.93 | avg100    23.84 |  101.8 steps/s | 156.6 min
ep  8250 | step   957054 | reward   118.86 | avg100    28.09 |  101.7 steps/s | 156.8 min
ep  8260 | step   958362 | reward     2.44 | avg100    28.80 |  101.8 steps/s | 157.0 min
ep  8270 | step   959640 | reward    69.81 | avg100    34.84 |  101.8 steps/s | 157.2 min
ep  8280 | step   960732 | reward    86.31 | avg100    36.74 |  101.8 steps/s | 157.3 min
ep  8290 | step   961890 | reward   112.01 | avg100    39.58 |  101.8 steps/s | 157.5 min
ep  8300 | step   963114 | reward     7.02 | avg100    41.25 |  101.7 steps/s | 157.8 min
ep  8310 | step   964332 | reward   -57.18 | avg100    40.65 |  101.8 steps/s | 157.9 min
ep  8320 | step   965490 | reward    85.81 | avg100    42.14 |  101.8 steps/s | 158.1 min
ep  8330 | step   966666 | reward    43.58 | avg100    39.90 |  101.8 steps/s | 158.3 min
ep  8340 | step   967974 | reward     3.12 | avg100    40.60 |  101.8 steps/s | 158.5 min
ep  8350 | step   969066 | reward   102.53 | avg100    39.04 |  101.7 steps/s | 158.7 min
ep  8360 | step   970266 | reward   -27.71 | avg100    37.26 |  101.8 steps/s | 158.9 min
ep  8370 | step   971430 | reward    -8.90 | avg100    34.09 |  101.8 steps/s | 159.1 min
ep  8380 | step   972546 | reward    74.06 | avg100    33.31 |  101.8 steps/s | 159.3 min
ep  8390 | step   973812 | reward   -23.46 | avg100    33.16 |  101.8 steps/s | 159.5 min
ep  8400 | step   975054 | reward    78.81 | avg100    34.47 |  101.7 steps/s | 159.7 min
ep  8410 | step   976050 | reward    77.43 | avg100    33.99 |  101.8 steps/s | 159.9 min
ep  8420 | step   977496 | reward    73.01 | avg100    34.96 |  101.7 steps/s | 160.1 min
ep  8430 | step   978564 | reward     3.60 | avg100    34.29 |  101.8 steps/s | 160.3 min
ep  8440 | step   979794 | reward    10.70 | avg100    37.72 |  101.8 steps/s | 160.5 min
ep  8450 | step   981018 | reward     1.02 | avg100    34.44 |  101.8 steps/s | 160.7 min
ep  8460 | step   982020 | reward    26.26 | avg100    33.38 |  101.8 steps/s | 160.8 min
ep  8470 | step   983292 | reward    99.34 | avg100    34.34 |  101.7 steps/s | 161.1 min
ep  8480 | step   984612 | reward    95.51 | avg100    34.63 |  101.8 steps/s | 161.3 min
ep  8490 | step   985752 | reward    67.25 | avg100    33.36 |  101.8 steps/s | 161.5 min
ep  8500 | step   986790 | reward    45.33 | avg100    29.11 |  101.8 steps/s | 161.6 min
ep  8510 | step   987984 | reward    -2.61 | avg100    26.47 |  101.8 steps/s | 161.8 min
ep  8520 | step   989178 | reward    44.88 | avg100    26.40 |  101.7 steps/s | 162.0 min
ep  8530 | step   990336 | reward    77.85 | avg100    27.68 |  101.8 steps/s | 162.2 min
ep  8540 | step   991410 | reward    39.00 | avg100    25.45 |  101.8 steps/s | 162.4 min
ep  8550 | step   992544 | reward    19.05 | avg100    26.25 |  101.8 steps/s | 162.6 min
ep  8560 | step   993756 | reward     2.13 | avg100    29.40 |  101.8 steps/s | 162.8 min
ep  8570 | step   994968 | reward    69.28 | avg100    31.59 |  101.8 steps/s | 162.9 min
ep  8580 | step   996150 | reward    90.65 | avg100    32.58 |  101.8 steps/s | 163.2 min
ep  8590 | step   997188 | reward   -10.60 | avg100    32.38 |  101.8 steps/s | 163.3 min
ep  8600 | step   998418 | reward    93.88 | avg100    38.93 |  101.8 steps/s | 163.5 min
ep  8610 | step   999696 | reward    35.60 | avg100    41.68 |  101.8 steps/s | 163.7 min
ep  8620 | step  1000884 | reward    21.73 | avg100    43.86 |  101.8 steps/s | 163.9 min
ep  8630 | step  1001946 | reward    -2.30 | avg100    42.90 |  101.8 steps/s | 164.1 min
ep  8640 | step  1003194 | reward    80.69 | avg100    42.19 |  101.8 steps/s | 164.3 min
ep  8650 | step  1004184 | reward    33.13 | avg100    43.52 |  101.8 steps/s | 164.5 min
ep  8660 | step  1005450 | reward    49.64 | avg100    42.66 |  101.8 steps/s | 164.7 min
ep  8670 | step  1006608 | reward    77.91 | avg100    40.08 |  101.8 steps/s | 164.9 min
ep  8680 | step  1007700 | reward    -1.64 | avg100    38.90 |  101.8 steps/s | 165.1 min
ep  8690 | step  1008888 | reward    -1.73 | avg100    38.45 |  101.8 steps/s | 165.2 min
ep  8700 | step  1010202 | reward   117.13 | avg100    38.13 |  101.8 steps/s | 165.4 min
ep  8710 | step  1011150 | reward   -10.77 | avg100    38.40 |  101.8 steps/s | 165.6 min
ep  8720 | step  1012464 | reward     0.94 | avg100    34.45 |  101.8 steps/s | 165.8 min
